Sector,Stock P/E,Price to book value,Debt to equity,Return on equity,Return on assets,Buy
Consumer Services,28.8,1.5,0.66,-1.9,25.5,1
Financial Services,29.1,6.4,1.51,1.2,17.6,0
Pharmaceuticals,81.3,3,2.76,-5.7,0.1,0
Energy,19.3,4.8,1.22,7.9,22.6,1
Telecommunications,67,7.8,5.11,-7.9,15,0
Information Technology,15.3,12.9,1.14,44.8,4.4,0
Pharmaceuticals,28.3,1.8,4.87,-4.3,15.2,1
Financial Services,25.1,9.7,0.67,27.9,-2.9,1
Energy,73.3,4.5,3.88,-5.9,1.4,0
Financial Services,7.4,8.1,1.79,34.1,24,1
Financial Services,46.6,0.4,0.2,0.2,16.7,1
Real Estate,25.5,1.2,1.1,18.1,19.8,1
Energy,72.1,14.4,5.87,34.2,11.3,0
Chemicals,54.7,9.6,1.76,30.1,-3.5,0
Pharmaceuticals,42.7,8.1,1.8,38.7,17.9,0
Real Estate,19.4,9,0.26,1,-3.6,0
Financial Services,17.6,4.6,0.95,-8.2,6,1
Chemicals,61.6,4,3.66,29,6.7,0
Banking,60.9,2.7,1.67,24.7,27.3,1
Textiles,55.2,4.1,2.1,9.9,2.7,0
Financial Services,9.6,2.3,1.13,3.6,9.1,1
Telecommunications,63.6,7.6,4.31,24.4,8.4,0
Chemicals,26.1,6.3,4.2,31.2,18.6,1
Energy,49.8,13.9,2.6,0,15.5,0
Automobiles,84.5,8.6,0.47,12.8,3.1,0
Energy,59.8,2.9,2,19.8,16.8,0
Banking,10.3,2.3,1.15,-8.3,10.5,1
Financial Services,88,7,3.85,-9.3,24,0
Automobiles,38.8,11.1,3.73,36.3,26.9,0
Metals and Mining,11.8,11.5,4.57,32.3,-2.8,0
Real Estate,7.2,2.1,1.7,39.3,1.4,1
Information Technology,46.2,14.1,2.3,20.2,31.6,0
Chemicals,71.9,12.7,4.98,21.7,15.3,0
Financial Services,6.4,12.5,1.05,31.3,0.5,1
Banking,69.3,1.1,2.87,36,27.2,1
Pharmaceuticals,71,8.6,3.19,7.8,0.9,0
Infrastructure,32.6,0.1,4.62,5.8,3.8,0
Energy,20.2,6.4,2.44,38.9,5.6,0
Consumer Goods,98.9,1.7,0.56,16.7,31.5,1
Pharmaceuticals,31.8,3.5,3.93,-9.1,14.5,1
Telecommunications,76.6,12.2,1.66,26.1,15.7,1
Chemicals,32.9,7.2,2.9,23,18,1
Financial Services,0,14,1.29,-6.3,3.5,0
Infrastructure,68.5,6.9,1.71,15.7,6.7,0
Infrastructure,71.4,5,1.28,4.3,10.8,0
Chemicals,30.3,2.7,4.74,11.6,20.8,1
Infrastructure,83.4,11.9,2.19,-8.3,7.3,0
Chemicals,88.9,9.5,3.53,30.7,7.5,0
Energy,5,10.8,4.69,12.8,6.4,0
Consumer Goods,45.7,16.8,0.26,34.2,8.1,0
Textiles,66.4,1,3.2,31.7,-3.7,0
Consumer Goods,71.5,6.4,1.82,46.1,23.5,1
Real Estate,6.8,10,4.52,6.9,9.8,0
Telecommunications,71.2,4.7,5.03,22.9,-3.7,0
Metals and Mining,19.4,7.5,2.91,28.2,12.3,0
Energy,15.1,0.1,0.86,11.6,15.7,1
Banking,71.4,0.2,5.9,21.3,16.8,1
Textiles,33.7,14.8,3.24,35.4,22.3,0
Automobiles,73.8,12.2,0.54,2.7,0.7,0
Pharmaceuticals,69.5,7.1,1.23,-9.7,11.2,0
Automobiles,25.9,2.2,0.88,10.7,24.7,0
Infrastructure,73.6,4.4,4.71,5.4,14.3,0
Energy,43.1,14.7,5.06,36.4,-4.1,0
Telecommunications,40.9,0,4.94,31.7,3.5,0
Automobiles,27,0.2,3.25,35.5,29.5,1
Banking,9.7,5.1,5.27,-4.3,17.1,0
Textiles,16,1.9,2.48,15.5,8.7,1
Textiles,38.3,5.6,0.71,12.8,3.5,0
Automobiles,37,0.9,0.58,6.5,22.4,1
Infrastructure,82.9,5.1,1.49,-6.4,19.7,0
Information Technology,19.2,0.3,3.84,10,7,0
Financial Services,19.8,2.1,0.58,34.4,1.2,1
Infrastructure,70.9,11.2,2.76,2,-3.8,0
Automobiles,79.1,12.4,2.35,4,26.9,0
Banking,18.7,2.6,2.64,6.8,16.5,1
Banking,54.8,0.2,4.21,27.1,14.3,1
Telecommunications,13.8,1,5.67,23.8,28.6,1
Textiles,80.3,5.8,4.28,17.4,11.2,0
Financial Services,54,5.9,3.31,20.1,27.7,0
Financial Services,31.9,11.3,3.39,1.7,23.5,0
Chemicals,57.4,13.3,0.42,-0.4,0.7,0
Real Estate,47.3,6.3,1.63,24.4,25.7,1
Infrastructure,33.6,9.3,0.44,-7,-2.7,0
Energy,9.4,5.2,0.57,-3.9,23.7,1
Real Estate,56.9,5.1,2,4,7.6,0
Automobiles,38.5,10.6,3.72,-5.6,14.9,0
Consumer Goods,76.1,19.2,0.04,15,24.7,0
Textiles,23.1,14.7,0.29,35.2,-3.9,0
Information Technology,38,12.4,1.37,1.5,3.9,0
Banking,46.4,3.7,2.53,18.5,17.7,0
Energy,22.4,9.6,4.98,12.6,4.1,0
Banking,29.1,1.3,3.78,10.1,-1,0
Pharmaceuticals,61.3,9.7,1.81,-5.4,20.3,0
Textiles,70,2.4,1.52,28.9,28.6,0
Banking,81.1,10.8,4.76,6.6,6.1,0
Consumer Goods,52.6,5,4,2.6,20.2,0
Energy,71.4,5.9,3.35,38,15.3,0
Pharmaceuticals,73.8,12,3.5,26.7,8.3,0
Telecommunications,12,2.7,3.63,6.5,15.4,1
Pharmaceuticals,9.2,3.5,3.84,26.1,20.1,1
Textiles,56.4,14.7,2.53,32.8,-3.3,0
Banking,25.8,9.7,5.73,9.9,25,0
Consumer Services,69.6,10,1.71,0.2,23.7,0
Consumer Services,87,7,0.38,5.5,9.3,0
Telecommunications,48.9,2.1,2.36,-1.2,13.3,0
Pharmaceuticals,28.2,6.8,2.81,21.1,13.5,1
Infrastructure,7.9,0.8,0.43,13.7,7.3,1
Information Technology,14.3,9.6,3.24,30.6,27.9,1
Automobiles,60.5,11.8,4.09,11.4,5.6,0
Metals and Mining,8.6,3,3.22,-9.1,-0.1,0
Chemicals,81,3.6,2.81,22.9,23.8,1
Banking,8.3,6.4,4.25,27,8.3,1
Textiles,17.2,13.2,3.53,9.3,26.1,0
Consumer Goods,92.9,6.7,0.13,39.7,15.5,1
Infrastructure,3.1,12.8,3.75,38,16.8,1
Information Technology,16.6,1.2,4.63,25,26.4,1
Consumer Services,25.7,1.8,1.64,31.2,12.2,1
Real Estate,4.4,13.1,1.09,-4.2,9.4,1
Chemicals,83.4,5.6,3.21,37.2,27,0
Financial Services,69.9,10.7,3.08,-1.4,7.1,0
Information Technology,16.4,6,3.8,28.2,9.3,0
Consumer Services,19.6,8.8,3.24,9.2,9.8,0
Chemicals,2.3,13.7,2.61,35.1,28.4,1
Chemicals,23.7,7,3.9,29.5,16.8,1
Banking,68.5,13.5,3.78,32,18,0
Energy,31.9,6.4,5.49,-8,4.6,0
Automobiles,5.9,4.4,2.03,29,5.6,0
Information Technology,76.6,8.5,0.55,12.2,36.4,0
Metals and Mining,71.2,5.9,1.78,29.6,-0.1,0
Automobiles,24.1,5.1,4.77,37,14.8,0
Financial Services,22.2,6.3,0.91,-8.1,24.3,1
Chemicals,61.6,13,0.86,-2.7,28,0
Real Estate,76.5,0.7,5.91,-6.2,5.4,0
Real Estate,30.3,3.7,4.1,-3.6,-0.2,0
Automobiles,27.5,3.7,2.49,11.3,5.4,0
Telecommunications,12.1,10.7,0.84,10.2,29.6,1
Consumer Services,45.3,5.8,1.47,18.3,12.3,1
Chemicals,66.7,0.9,1.59,38.7,22.5,1
Consumer Goods,50.4,9.8,2.27,39.4,9.2,0
Telecommunications,60.5,4.3,1.91,-6.2,-4.4,0
Consumer Goods,82.3,19,0.71,44,12.4,0
Financial Services,13.1,9.1,0.14,-1.7,-0.6,0
Chemicals,77.3,2.1,4.6,32.2,25.9,1
Textiles,29,14.5,3.06,-1.3,19.8,0
Consumer Services,59.2,14,3.06,13,3.8,0
Consumer Goods,10.9,23.8,2.21,38.8,18.5,1
Metals and Mining,69.9,14.8,0.96,35.9,17.4,1
Real Estate,5.5,1.1,5.75,17,21.8,1
Metals and Mining,54,11,4.06,33.9,3,0
Consumer Goods,99.4,8.5,3.96,27.2,8.7,0
Pharmaceuticals,61.7,12.6,3.25,1.1,8.1,0
Consumer Goods,48.1,9.2,4.03,33.7,31.2,1
Telecommunications,76.5,5.9,5.92,5.3,-5,0
Consumer Goods,59.8,19.4,4.06,22.3,27.1,0
Telecommunications,72.3,1.6,0.93,-5.7,23.6,1
Infrastructure,77,9.1,3.49,26.1,-1.7,0
Telecommunications,72.9,8.5,2.3,-9.9,4.2,0
Chemicals,56.8,15,0.88,21.1,15.9,1
Chemicals,90.5,4.6,1.79,-0.8,23.8,0
Telecommunications,83.6,7,4.13,-5.7,8.9,0
Metals and Mining,18.4,1.6,1.01,-8.6,15.6,0
Banking,43.3,10.7,0.55,20.5,20.6,1
Energy,74.3,5,4.86,32.3,15.4,0
Pharmaceuticals,50.1,5.4,2.76,12.2,-1.7,0
Real Estate,73.7,0.6,2.35,10.6,15.3,0
Information Technology,56.5,4.3,3.78,2,-1.1,0
Information Technology,86,2.5,4.19,38.5,26.4,1
Information Technology,86.3,10.3,4.8,-3.7,-2.9,0
Real Estate,1.4,12.1,3.29,16.4,18.2,1
Real Estate,44.8,0.3,4.83,-0.5,23.6,0
Consumer Goods,34.8,21.7,2.73,43.2,5.1,0
Consumer Goods,34.3,6.3,0.05,0.5,34.6,1
Metals and Mining,0.6,11.2,0.3,1.3,11.8,1
Banking,16.4,2.7,3.76,17.1,20.1,1
Infrastructure,84.8,13.4,2.29,-9.7,17.7,0
Automobiles,5.7,3.5,0.57,1.1,3.6,0
Consumer Goods,87.5,6.6,1.54,46.3,37.4,1
Infrastructure,87.5,14.1,3.33,-6.2,6.4,0
Chemicals,47.7,3.2,3.66,26.1,13.8,1
Financial Services,73.2,14,2.47,-9.5,25.9,0
Textiles,65.8,2.8,0.46,8.8,8.2,0
Metals and Mining,75.1,5.4,2.5,24.7,-0.5,0
Textiles,58,5.9,0.04,-6,14.2,0
Real Estate,81.8,11.5,0.51,31.9,9.2,1
Energy,5,2.1,0.37,34.7,24.8,1
Energy,56.9,13.3,0.07,12.9,16.7,0
Chemicals,33.2,14.8,0.11,30.9,20.3,1
Consumer Goods,9.2,15.6,2.56,25.9,0.9,0
Real Estate,51,4.5,4.42,-1.2,25.4,0
Information Technology,22.8,14.7,4.5,0.7,36.2,0
Consumer Services,62.6,14.6,3.19,14.7,24.7,0
Consumer Services,83.9,4.8,2.96,31,10.3,0
Automobiles,23.5,10.2,3.62,16,1.8,0
Textiles,33.6,9.2,4.08,31.8,-3.6,0
Banking,65,4.6,4.49,36.8,16.3,0
Real Estate,42.1,13.6,0,26.9,11.8,1
Pharmaceuticals,87,0.9,1.6,13.9,13.5,0
Telecommunications,24.2,14.7,3.56,13,12.2,0
Banking,81.4,3.4,5.8,27.3,22.9,0
Banking,36.2,11.4,0.25,15.5,26.7,1
Automobiles,40.1,8.8,4.93,-3.1,25.7,0
Textiles,33.4,1.7,0.49,12.3,28.1,1
Banking,66.2,0.8,0.89,35.3,-2.9,1
Energy,56.1,1.7,2.95,22.8,4.6,0
Financial Services,5.9,5.3,0.33,20.8,1.7,1
Telecommunications,51.8,3.8,5.98,21,9.9,0
Infrastructure,81.2,11.7,3.27,28.7,2.2,0
Financial Services,12.2,1.7,1.86,39.7,14.8,1
Banking,19.6,0.8,5.3,26.4,16,1
Textiles,38.4,8.3,0.85,37.7,24.8,1
Energy,19.6,7.2,5.52,32.2,22.5,1
Textiles,50.1,3.7,4.33,0.7,25.2,0
Chemicals,84.5,7.4,3.4,38,7.7,0
Information Technology,24.7,0.7,4.83,14.1,32.5,1
Chemicals,47.2,3.8,2.28,-2.4,4.1,0
Real Estate,22,9.5,0.61,37,21.3,1
Automobiles,44.1,2.5,1.76,38,26.2,0
Real Estate,5.6,12,0.18,23.7,12.9,1
Consumer Services,78.9,12.2,3.54,-1.3,-4.4,0
Automobiles,57.2,4.6,2.72,29.5,11.1,0
Consumer Goods,42.5,8.5,4.1,19.2,2.4,0
Financial Services,63.6,10.5,0.02,29,0.7,0
Financial Services,1.8,4.3,0.81,24.9,-0.3,1
Banking,1.3,2.9,4.44,1.2,19.3,1
Chemicals,93.7,6.5,4.63,1.3,21.3,0
Telecommunications,44.8,3.4,2,10.9,20.5,0
Telecommunications,6.8,13.1,3.53,35.7,25.2,1
Automobiles,76.8,1,3.72,-6.9,2.7,0
Automobiles,32,6.3,4.86,14.9,6.8,0
Information Technology,79.4,8.6,3,-3,28.2,0
Banking,1,6.4,2.93,-8.9,21.6,0
Consumer Services,66.9,14.9,4.86,30.1,-1.2,0
Consumer Services,85.9,9.9,3.51,12.3,14.4,0
Financial Services,64.8,8.9,0.27,-5.7,6.6,0
Real Estate,44.4,0.4,1.29,14.1,23.6,1
Information Technology,50,0.4,3.95,-2.7,13.3,0
Infrastructure,10,13.1,4.14,-1.5,24.5,0
Consumer Services,62.2,11.3,2.42,30.6,23.5,0
Consumer Goods,58.5,0.1,0.55,50,1.5,1
Telecommunications,82.9,13.6,0.04,18.2,5.9,0
Telecommunications,40.4,8.7,2.4,15.9,26.7,0
Metals and Mining,22.1,2.8,3.24,35.6,25.7,0
Real Estate,47.6,9.2,3.06,-6,17.5,0
Metals and Mining,51.8,12.1,4.63,27.8,12.1,0
Consumer Services,71.4,13.8,1.63,31.2,-3.8,0
Telecommunications,70.6,4.7,0.59,39.1,8.7,1
Automobiles,82.9,9.9,2.52,-8.3,13.3,0
Banking,20.3,12.2,0.15,17.7,1.4,1
Telecommunications,35.2,11.6,1.57,14.3,13.2,1
Banking,73.4,5.4,3.62,15.1,28.1,0
Metals and Mining,1.2,11.8,0.04,14.4,5.7,1
Energy,3.3,11.2,0.28,4,4.8,0
Banking,46.1,6.5,1.49,24,19.7,1
Chemicals,51.4,13.9,4.67,5.7,23.5,0
Textiles,27.7,7.1,1.29,31.8,15.8,1
Pharmaceuticals,26.2,6,1.15,33.9,7.9,0
Automobiles,44.4,12.3,4.49,3.3,18,0
Consumer Goods,68.1,21.4,0.96,45,16.3,0
Information Technology,20.2,3.8,3.57,-3.3,16.4,1
Banking,1.8,13.9,0.44,17.2,24.6,1
Consumer Services,75.8,1.6,4.89,32,25.4,1
Financial Services,29.8,5.5,1.88,23.8,9.8,0
Energy,88.2,12,3.04,15,26,0
Consumer Goods,69.7,12.1,3.36,39.7,-2.4,0
Pharmaceuticals,28.8,14.8,1.09,37.8,27.1,1
Metals and Mining,26.6,8.9,3.7,34.8,0.3,0
Automobiles,29.8,13.5,2.62,-7.6,23.9,0
Infrastructure,22.4,11.1,4.82,8.6,19.7,0
Consumer Services,89.9,13.2,0.37,-3,17.7,0
Banking,80.7,6.9,4.17,-2.1,7.9,0
Real Estate,63,10.6,0.38,17,29.2,1
Information Technology,84.4,13.1,0.95,38.1,30.5,1
Textiles,2.1,7,3.62,-1.5,7.8,0
Telecommunications,20.7,14.6,2.9,20.4,19.6,1
Textiles,18,13.3,4.51,35.3,8.2,1
Financial Services,18,6.7,4.56,39.4,16.6,1
Automobiles,35.4,0.7,3.12,35.4,13.2,1
Textiles,0.8,0.2,1.19,22.7,11.4,1
Metals and Mining,37.2,6.3,4.4,-6.4,22.1,0
Infrastructure,62.2,10.9,1.98,16.8,-3.1,0
Metals and Mining,14.4,6.7,3.28,39.4,-1.3,0
Pharmaceuticals,23.5,9.4,1.84,25,0.9,0
Energy,76.9,4.8,4.31,38.8,5.8,0
Information Technology,46.3,8.4,2.71,37.9,36.2,0
Banking,44.5,2,0.55,26.2,-1.1,1
Energy,25.4,4.8,0.14,-8.7,18.8,1
Metals and Mining,18.6,3.8,4.02,37.8,2.6,0
Energy,69.3,5.8,2.53,15.6,1.2,0
Metals and Mining,31.1,0.5,0.23,25.3,5.8,1
Energy,48.5,12.3,3.45,28.8,0.1,0
Financial Services,28.6,12.8,1.94,39.3,28.6,1
Consumer Goods,37.7,12.6,2.46,3.6,27.9,0
Automobiles,68.7,9.4,2.77,25.3,14.9,0
Consumer Services,75.1,3.3,4.13,-4.6,19.5,0
Telecommunications,82,7.7,0.71,-9.7,15,0
Automobiles,68.5,11.7,4.85,7.7,19.3,0
Chemicals,44.1,11.5,1.78,30.8,16.8,0
Consumer Services,50.8,4,4.58,33.5,14.5,0
Telecommunications,9.9,2.8,3.8,26,13.9,1
Chemicals,79.2,11.3,4.84,-6.2,7.9,0
Infrastructure,80,5.3,2.67,0.9,29.4,0
Consumer Services,3.7,12.3,2.19,-1.6,-3.1,0
Consumer Services,84.5,8,4.8,11.4,6.5,0
Financial Services,51,5.1,0.13,20.2,1.4,0
Pharmaceuticals,8.2,10.4,0.86,20.1,19,1
Chemicals,51.8,14.2,3.98,38,-0.9,0
Consumer Goods,67.1,22.8,1.21,2.2,0.5,0
Energy,25.6,2.7,5.97,19.9,13.2,1
Chemicals,24.2,2.6,2.26,19.9,23.6,1
Energy,27.4,3.2,0.23,21.4,22.4,1
Banking,18.4,5.6,0.76,3.1,13.6,1
Energy,28.6,8.8,2.81,-6.3,7.6,0
Consumer Goods,96,20.1,0.12,6.5,13.7,0
Metals and Mining,66.3,6.7,3.64,18.5,-2.2,0
Real Estate,66.2,8.1,5.33,36.7,19.9,0
Consumer Services,49,3.7,2.32,10.1,13.6,0
Consumer Goods,16.2,10,3.88,20.7,22.1,0
Infrastructure,41.3,7,1.27,-10,10.7,0
Banking,86.4,2.7,1.7,-6.8,10.4,1
Pharmaceuticals,40,2.3,0.69,19.4,16.8,1
Chemicals,75.9,1.2,1.31,32.4,6.3,0
Metals and Mining,51.2,3.8,3.92,33.2,6.4,0
Consumer Services,59,10.5,0.99,-2.9,19.5,0
Banking,49.9,6.7,4.36,-0.9,24.8,0
Chemicals,55.4,10.1,3.26,18.6,21.9,0
Metals and Mining,40.6,5.8,0.99,18,5.2,0
Metals and Mining,25.2,7,1.76,-0.3,12.1,0
Financial Services,68.6,1.4,1.47,39.8,17.8,1
Banking,21,2.3,5.9,6.9,0.5,0
Pharmaceuticals,83.3,3.4,1.57,-9.5,22.1,0
Energy,27.2,5,0.24,-7.8,-4.3,0
Banking,52.7,4.7,1.71,23,1,0
Consumer Services,5.9,10.9,0.61,3.7,-1.8,0
Banking,5.3,5.2,5.14,36.8,23.1,1
Chemicals,51.6,2.2,4.39,9.7,24,0
Real Estate,41,2.2,0.59,-9,21.6,0
Information Technology,45.8,3.4,0.29,4.9,0.2,0
Real Estate,29.2,1.2,2.29,-4.9,16.5,0
Financial Services,85.1,1.5,2.76,31.7,1.8,0
Financial Services,42.4,2.2,0.38,18.5,8.3,1
Chemicals,20.9,4.8,3.16,15.1,16.7,1
Real Estate,71,5,1.02,25.5,21.3,1
Banking,63.1,3,1.86,20.6,19,1
Financial Services,13.6,3.5,3.21,11.5,28.1,1
Automobiles,34.1,5,3.24,40,25.5,0
Textiles,24.6,11.6,3.78,-1.4,-4,0
Banking,43.8,1.7,2.76,8.1,-2.3,0
Metals and Mining,88.8,9.1,2.98,22.1,25.2,0
Banking,15.6,10.6,0.64,9.9,6.9,1
Energy,20.5,1.6,0.3,5.4,22.5,1
Real Estate,42.5,1.5,3.79,-5.1,24.4,0
Automobiles,47.9,10.3,3.93,26.2,16.3,0
Automobiles,66.7,8,0.99,15.9,29.3,1
Automobiles,31.8,7.1,3.3,39.3,8.7,0
Real Estate,46.6,1.7,3.38,30.8,26.5,1
Infrastructure,16.9,2.5,2.46,6.8,28.6,1
Information Technology,62.2,8.3,1.66,8.9,35.8,0
Chemicals,40.8,12.2,3.49,27.6,-1,0
Automobiles,13.6,7.2,2,-9.6,17.4,0
Information Technology,67.3,13.7,4.22,42.5,29,0
Textiles,10.4,4.1,2.13,28.8,11.6,1
Energy,5.8,1.8,2.87,15.9,20.9,1
Consumer Services,43.6,0.8,3.7,39.6,12.1,1
Textiles,42.8,4.8,0.86,19,9.9,1
Textiles,16.2,7.2,0.31,2.5,21.8,1
Energy,15.8,2.4,1.57,21.9,5.8,1
Telecommunications,93.9,1.8,0.31,2,14.3,1
Pharmaceuticals,22.1,3.2,0.03,0.7,13.5,1
Telecommunications,69.1,15,4.06,34,16.4,0
Automobiles,8.2,4.4,0.28,8.3,27.3,1
Metals and Mining,85.3,8,1.67,36.5,9.9,0
Pharmaceuticals,82.2,15,4.28,16.5,24.7,0
Financial Services,66,3.6,1.03,23.5,21.6,1
Consumer Goods,92.1,6.7,0.58,27.1,23.3,1
Automobiles,79.1,0.8,3.44,11.3,23.9,0
Chemicals,71.9,6.1,3.73,11.2,18.9,0
Telecommunications,61.3,7.6,5.45,29.7,14.8,0
Banking,67.7,12.1,5.79,0,18.1,0
Financial Services,36.3,0.7,4.08,14.6,17.5,0
Energy,8,12.2,0.29,-9.4,-3.1,0
Pharmaceuticals,35.2,4.8,4.97,5.8,24.7,0
Energy,13.9,13.6,1.48,30,0.6,1
Consumer Goods,62.3,20.3,3.67,-1.3,6.5,0
Metals and Mining,2.6,10.4,0.57,-0.2,24.8,1
Information Technology,16.7,3.5,2.88,-5.5,-3.2,0
Textiles,12.5,8.7,1.33,-1.7,21.1,1
Chemicals,79.8,8.1,2.28,1.8,2.2,0
Consumer Services,27.2,0,0.48,24.6,2.9,1
Metals and Mining,2,0.1,0.61,-6.7,17,1
Infrastructure,54.5,5.5,2.71,28.6,11.8,0
Telecommunications,7.5,6.8,0.91,-1.9,10.4,1
Textiles,20.3,2.2,2.92,34,25.6,0
Automobiles,41.8,1.8,1.61,36,0.8,0
Consumer Services,30.6,5.7,4.81,-1.2,22.8,0
Consumer Goods,66.4,3.9,0.89,-3.3,31.9,1
Energy,46.6,11.1,2.16,6.2,18.1,0
Consumer Goods,54.6,18.3,4.09,12.7,18.4,0
Real Estate,15.2,10.9,4.95,2.4,6.4,0
Textiles,46.9,4.2,0.77,15.6,29.8,1
Metals and Mining,5.5,0.3,0.74,2.7,17.4,1
Energy,57,3.4,1.03,37.4,5.3,1
Consumer Goods,26.1,10.3,1.87,21.4,18.1,0
Information Technology,34.6,7.4,4.5,9.3,21.6,0
Pharmaceuticals,17.5,8.9,4.55,34.2,15.9,1
Infrastructure,67.6,9.1,0.93,32.7,3.9,0
Financial Services,26,8.8,3.09,-8.1,14.4,0
Information Technology,76,8.5,2.82,-0.2,1.9,0
Textiles,43.9,1.9,1.31,39,7.7,1
Consumer Goods,49.8,22.5,0.07,17.4,-2.1,0
Financial Services,68.5,4.2,2.37,24.3,1.4,0
Infrastructure,66.4,6.3,2.47,26.9,23.1,0
Banking,35.1,1,5.14,17.1,14.2,1
Automobiles,76.1,12.8,3.46,-5.8,16.3,0
Pharmaceuticals,82.3,12.8,4.3,-7.5,7.7,0
Consumer Services,38.9,14.6,4.62,25.2,-2.2,0
Information Technology,64.9,8.4,2.28,5.6,32.7,0
Textiles,0.4,4.5,2.16,11.4,20.2,1
Pharmaceuticals,10.3,5.3,4.55,39.8,3.4,0
Financial Services,32.2,2.6,1.21,14.6,14.6,1
Banking,3.5,7.5,5.83,33.5,5.1,1
Chemicals,7.8,4.5,0.85,19.6,1.5,1
Telecommunications,43.2,13,3.67,11,17.3,0
Telecommunications,54.3,12.8,2.86,32.1,15.5,0
Financial Services,8.5,2.4,1.89,29.1,14.1,1
Energy,15.6,1.5,2.17,25.6,20.2,1
Chemicals,56.4,6.7,0.92,-1.9,25.5,0
Metals and Mining,6.5,1.8,2.22,19.5,21.4,1
Infrastructure,46.9,5.5,1.77,38.9,6.8,0
Telecommunications,81.9,7.7,5.03,-4.4,3.6,0
Information Technology,86.1,0.3,4.68,11.5,36.8,0
Metals and Mining,57.8,4.7,0.03,36.3,20.5,1
Metals and Mining,80.6,9.3,1.78,7.4,-3.9,0
Infrastructure,55.4,5.9,3.54,29.6,19.6,0
Financial Services,80.4,9.1,0.81,39.8,14.8,1
Infrastructure,42.7,1,1.1,40,-3,1
Consumer Goods,82.5,5.7,2.24,-9,3,0
Telecommunications,28,0.3,2.98,-8.5,0.5,0
Consumer Goods,104.6,0.3,0,31.4,29.5,1
Metals and Mining,32.1,0.9,1.35,10.2,22.1,1
Infrastructure,12.9,9.4,2.1,6.6,-2.1,0
Banking,77.4,13.2,1.88,32.6,24.7,1
Banking,38.2,1.4,3.32,12.4,1.9,0
Metals and Mining,86.3,2.2,2.94,12.1,8.5,0
Telecommunications,95.3,6.3,3.97,39.8,2.7,0
Automobiles,88.4,10.8,2.09,-3.8,19.4,0
Banking,17.6,10.3,3.58,26.2,22.4,1
Energy,13.7,7.7,0.72,-7.4,24.6,1
Automobiles,75.3,7.7,1.21,1.4,14.1,0
Chemicals,63.9,8.7,4.88,32.3,22.3,0
Infrastructure,10.8,6.4,0.89,13.3,-4,0
Energy,58.7,0.5,1.02,19.1,23.1,1
Financial Services,78.8,1.2,1.91,23.4,25.3,1
Banking,28.4,10.7,0.33,-1,5.2,0
Automobiles,0.3,12.5,3.98,12.5,6.7,0
Financial Services,0.2,8,3.4,30.2,5,0
Real Estate,2,8.2,0.8,-0.6,-1,0
Banking,64.2,2.9,1.97,34.6,6.5,1
Infrastructure,4,13.4,1.07,-3.3,20.8,1
Financial Services,60,13.5,3.7,3.3,10.4,0
Telecommunications,14.8,2.1,0.26,8.9,22.5,1
Energy,5.8,12.7,0.64,17.1,22.2,1
Real Estate,75.8,12.3,2.79,13,24.4,0
Pharmaceuticals,85.9,13.4,4.7,39.2,23.8,0
Textiles,63,9.4,1.59,24.9,23.4,0
Real Estate,81.2,2.5,4.93,29.2,13.3,0
Consumer Services,80.3,0.5,3.93,12,14.3,0
Real Estate,13.5,10.1,0.97,8,27,1
Energy,11.5,13.2,1.43,16.7,24.9,1
Financial Services,21.1,5.2,2.06,24.1,9.9,0
Consumer Services,64.7,0.6,1.23,28.4,-4.9,1
Financial Services,17.5,14.7,4.44,8.9,-2.9,0
Metals and Mining,64.7,2.7,4.76,-8.7,8,0
Banking,67.4,10.7,1.72,30,15.4,1
Infrastructure,42.1,5.1,3.58,-4.7,28.1,0
Energy,3.4,8,1.75,18.3,8.9,0
Pharmaceuticals,11.5,7.9,0.77,15.2,28.3,1
Real Estate,14.2,4.7,3.09,9.2,-0.8,0
Information Technology,12.5,13.6,0.54,29.1,3.4,1
Real Estate,14.4,11.6,4.97,27.5,16.5,1
Banking,89,6.9,2.13,9.8,15.6,0
Pharmaceuticals,57.2,2.2,1.12,8.7,9.7,0
Telecommunications,79.3,8.9,2.43,5.7,28.2,0
Telecommunications,31.9,0.4,0.97,28.4,8.6,1
Consumer Services,10.4,2.2,2.95,20.3,24.9,1
Automobiles,34.4,13.7,4.22,19.6,-0.2,0
Energy,1.3,4.7,1.92,33.8,-1,1
Automobiles,87,11,0.12,5.1,11,0
Infrastructure,5.5,14.6,4.7,7.5,7.9,0
Consumer Goods,0.2,16,2.13,43.1,-4.6,0
Metals and Mining,54.1,5,1.55,12.8,24.3,0
Automobiles,44,5.1,3.05,-3.5,26.5,0
Energy,10.6,2.2,0.98,-3.7,-1.4,1
Energy,29.6,1.4,1.61,17.5,3.1,1
Financial Services,9.9,9.3,3.04,25.4,16.6,1
Consumer Services,4.3,6.5,4.2,-0.1,20.7,0
Consumer Services,45.5,7.6,1.67,0.6,13.1,0
Telecommunications,51.7,2.1,3.54,37.1,24.6,1
Automobiles,3,0.7,1.55,17.6,18.6,1
Consumer Goods,42.9,7.7,0.73,9.6,30.7,1
Real Estate,58.6,5.1,1.82,28.1,15.1,1
Telecommunications,94.7,10.8,5.46,6.5,23,0
Financial Services,85.4,14.3,4.97,8.1,16.9,0
Real Estate,49.3,14.2,1.96,31.4,19.8,1
